y=1985, x=415..425
y=1010, x=395..399
x=490, y=362..370
y=1686, x=435..455
x=429, y=964..977
y=362, x=425..441
x=372, y=2043..2053
y=643, x=341..347
x=426, y=1868..1877
x=359, y=1140..1142
y=1587, x=461..477
x=479, y=1179..1184
x=410, y=1450..1460
x=364, y=780..782
y=711, x=435..438
x=502, y=1899..1902
x=357, y=786..807
x=427, y=418..431
y=1542, x=392..400
x=457, y=1044..1070
y=1384, x=354..356
y=1232, x=400..420
x=416, y=1450..1460
y=383, x=439..444
x=392, y=597..600
x=434, y=346..359
x=434, y=1942..1948
y=1142, x=356..359
x=336, y=1567..1573
x=493, y=278..292
y=1945, x=374..378
x=374, y=1794..1808
x=391, y=2000..2014
y=1953, x=465..467
x=460, y=660..681
x=354, y=1595..1597
x=426, y=1179..1182
x=422, y=1517..1529
x=463, y=1840..1842
y=1663, x=387..440
x=444, y=1301..1315
y=1727, x=422..446
y=1122, x=418..422
x=443, y=264..279
x=513, y=1558..1568
x=410, y=1631..1641
x=365, y=1131..1145
y=407, x=437..465
y=1484, x=412..438
x=390, y=142..144
x=441, y=422..428
y=1232, x=373..375
x=469, y=431..452
x=384, y=1792..1805
x=345, y=1150..1159
y=2043, x=407..418
x=416, y=826..853
x=463, y=509..511
x=358, y=155..172
x=409, y=122..132
y=1662, x=444..448
y=838, x=449..453
x=485, y=842..845
y=1036, x=480..507
x=333, y=665..691
x=408, y=1560..1562
x=425, y=1015..1020
x=447, y=1610..1612
x=432, y=1176..1185
y=422, x=439..441
x=428, y=801..809
y=704, x=490..497
x=361, y=1764..1768
x=502, y=883..910
y=511, x=504..514
x=347, y=591..610
x=385, y=286..302
x=391, y=1083..1085
x=426, y=527..540
x=449, y=1302..1309
y=444, x=338..346
x=457, y=1239..1252
x=504, y=542..556
y=1683, x=385..402
x=486, y=247..249
x=365, y=705..720
x=518, y=302..316
y=1182, x=424..426
y=1476, x=429..431
x=373, y=1048..1059
x=437, y=396..407
x=485, y=1619..1624
x=405, y=1264..1267
x=366, y=1663..1667
x=380, y=1749..1762
y=1308, x=358..362
x=444, y=1266..1269
x=369, y=30..34
x=488, y=1221..1231
y=1697, x=334..346
x=487, y=949..954
y=460, x=392..398
y=175, x=496..499
y=103, x=488..490
y=924, x=362..387
x=335, y=755..768
y=41, x=500..504
x=377, y=195..201
x=453, y=836..838
y=893, x=473..476
y=788, x=386..410
x=488, y=93..103
y=1102, x=390..396
x=416, y=907..918
x=341, y=1567..1573
x=438, y=228..233
y=1624, x=485..489
y=763, x=377..391
x=465, y=1953..1955
x=365, y=1184..1194
x=408, y=145..150
x=446, y=797..811
x=492, y=1311..1313
x=399, y=1452..1475
y=1161, x=467..469
x=493, y=759..783
x=456, y=183..194
y=1727, x=368..387
x=386, y=1006..1017
x=364, y=529..534
x=391, y=1338..1359
x=352, y=938..962
x=393, y=1083..1085
x=485, y=225..230
x=431, y=1970..1981
y=1128, x=334..351
x=386, y=317..319
y=876, x=502..510
y=1311, x=490..492
y=1912, x=375..394
x=490, y=1746..1749
x=367, y=1774..1784
x=499, y=580..596
y=336, x=447..449
x=363, y=977..992
y=2034, x=362..378
x=444, y=770..780
x=350, y=1294..1315
x=470, y=161..178
x=467, y=28..47
x=501, y=926..939
x=441, y=1420..1438
x=393, y=350..374
x=467, y=1725..1731
x=350, y=1957..1970
x=420, y=1219..1232
y=1729, x=349..351
x=387, y=1652..1663
x=391, y=679..692
y=1145, x=350..365
y=178, x=470..488
y=893, x=394..406
y=1086, x=408..428
x=487, y=1804..1812
y=610, x=347..370
x=425, y=1406..1413
y=1582, x=390..396
x=342, y=1294..1315
x=385, y=1940..1950
x=352, y=1658..1680
y=1275, x=436..457
y=21, x=499..516
x=346, y=971..978
x=393, y=397..419
x=444, y=379..383
x=506, y=759..783
x=515, y=1147..1158
x=358, y=1308..1312
x=370, y=2020..2030
x=351, y=319..337
x=489, y=790..794
x=442, y=1351..1354
x=425, y=1213..1220
x=353, y=1734..1757
x=417, y=81..107
x=362, y=113..116
y=831, x=389..391
x=362, y=563..575
x=469, y=1287..1314
x=425, y=1132..1140
x=347, y=319..337
x=384, y=1749..1762
y=132, x=407..409
x=395, y=1165..1182
x=446, y=946..956
y=882, x=360..370
x=398, y=983..996
x=411, y=1428..1440
y=1768, x=349..361
x=507, y=1033..1036
x=391, y=118..126
y=1359, x=391..394
y=868, x=422..431
x=484, y=1975..1983
x=394, y=1795..1808
x=456, y=790..799
x=447, y=159..173
x=420, y=636..649
y=1990, x=341..377
x=502, y=1805..1812
x=425, y=1982..1985
y=1612, x=447..449
x=440, y=515..519
y=173, x=447..463
y=123, x=349..368
x=508, y=477..489
x=440, y=1651..1663
y=411, x=470..497
y=1915, x=474..491
y=421, x=370..373
y=292, x=493..510
y=904, x=442..462
x=469, y=1402..1408
y=65, x=478..499
y=811, x=446..451
x=415, y=570..579
x=358, y=1255..1272
x=444, y=1681..1683
x=384, y=456..474
x=359, y=81..85
y=1478, x=429..431
y=1925, x=459..467
x=423, y=800..813
y=1892, x=342..364
y=1790, x=420..424
x=483, y=1411..1419
y=446, x=426..428
y=1877, x=426..436
y=653, x=404..415
y=1457, x=377..379
x=384, y=1919..1929
x=437, y=1750..1752
x=459, y=1920..1925
x=413, y=406..427
x=366, y=1393..1399
y=563, x=457..471
x=445, y=546..555
x=355, y=1075..1095
y=46, x=372..385
x=450, y=1494..1498
x=500, y=39..41
x=424, y=1786..1790
x=415, y=1782..1794
y=692, x=412..432
x=463, y=137..150
x=413, y=1911..1927
y=998, x=380..393
x=394, y=1877..1888
x=422, y=1329..1334
y=555, x=425..445
y=768, x=335..362
x=362, y=755..768
x=446, y=594..596
x=449, y=324..336
y=1762, x=380..384
y=1231, x=488..516
x=491, y=1901..1915
x=364, y=819..841
x=401, y=1492..1503
x=516, y=1642..1648
y=1357, x=430..451
x=337, y=195..214
y=954, x=480..487
x=410, y=16..31
y=2046, x=339..363
x=376, y=1188..1191
x=499, y=10..21
x=492, y=263..273
y=649, x=420..440
x=463, y=160..173
x=398, y=1734..1744
x=462, y=892..904
x=437, y=611..620
x=449, y=874..878
x=509, y=637..643
y=1463, x=405..424
x=399, y=1518..1529
x=419, y=1634..1644
x=487, y=487..494
y=289, x=500..504
x=349, y=970..978
x=478, y=96..107
x=384, y=723..743
x=371, y=210..229
x=435, y=722..735
x=407, y=1031..1037
x=452, y=726..729
y=1314, x=466..469
x=349, y=1763..1768
x=374, y=590..603
x=426, y=443..446
x=429, y=228..233
x=439, y=379..383
y=1354, x=442..444
x=468, y=1178..1184
x=499, y=1557..1568
x=412, y=1631..1641
y=1337, x=416..439
y=1615, x=438..456
x=400, y=1598..1600
y=995, x=487..502
x=508, y=1834..1844
y=496, x=407..426
y=1942, x=336..341
x=503, y=1643..1648
y=1466, x=365..386
y=630, x=502..510
x=445, y=1045..1070
x=512, y=1674..1697
x=355, y=142..163
y=956, x=386..404
y=1040, x=398..414
x=383, y=662..687
y=862, x=456..476
x=481, y=695..705
x=440, y=636..649
y=1710, x=452..476
x=423, y=120..133
y=1031, x=404..407
y=841, x=344..364
x=475, y=1430..1432
y=1724, x=375..377
y=129, x=476..496
y=687, x=372..383
x=493, y=1503..1528
x=369, y=316..319
y=1686, x=504..506
x=360, y=913..915
y=1697, x=497..512
x=468, y=1330..1334
y=534, x=364..387
y=1351, x=442..444
x=374, y=1856..1865
y=1881, x=470..481
x=389, y=552..554
x=343, y=1423..1451
x=496, y=1828..1849
x=472, y=1416..1420
x=402, y=1848..1861
x=460, y=1031..1055
x=505, y=1148..1158
x=441, y=349..362
x=357, y=1629..1651
y=1933, x=373..390
x=426, y=1551..1579
y=1241, x=450..453
x=499, y=639..650
y=996, x=398..471
x=472, y=72..82
y=1206, x=465..467
x=412, y=1413..1417
x=376, y=486..505
y=1329, x=422..424
x=341, y=142..163
y=769, x=432..435
x=448, y=1104..1122
x=499, y=220..227
y=207, x=439..441
x=488, y=579..596
x=474, y=1900..1915
x=473, y=1333..1340
y=714, x=423..446
y=754, x=449..452
y=2043, x=458..484
y=1126, x=411..431
x=514, y=143..165
x=354, y=1357..1384
x=414, y=82..107
y=1315, x=428..444
x=448, y=200..212
x=438, y=14..18
y=799, x=456..474
x=420, y=1410..1421
x=343, y=1629..1651
x=404, y=631..653
x=353, y=1306..1315
x=475, y=1828..1845
y=597, x=392..420
x=496, y=118..129
y=1950, x=362..385
x=333, y=715..719
x=386, y=1452..1466
x=422, y=1721..1727
x=399, y=1010..1012
x=439, y=886..903
x=369, y=1127..1129
x=502, y=870..876
y=31, x=410..413
x=366, y=241..253
y=82, x=469..472
x=412, y=440..449
y=1846, x=417..427
x=383, y=156..172
x=448, y=1430..1432
y=1220, x=425..451
y=359, x=432..434
x=491, y=247..249
x=389, y=822..831
y=1061, x=396..398
y=1595, x=352..354
x=422, y=1430..1443
y=1501, x=380..384
x=343, y=761..764
y=1020, x=425..433
x=349, y=1702..1729
y=232, x=489..506
x=515, y=1238..1243
y=2030, x=370..372
x=417, y=1555..1565
y=530, x=334..361
y=1909, x=381..386
x=349, y=761..764
x=409, y=963..977
x=486, y=652..676
x=476, y=1752..1759
x=447, y=1681..1683
x=476, y=1706..1710
x=428, y=443..446
x=378, y=1943..1945
x=412, y=680..692
y=1531, x=437..459
y=853, x=412..416
x=473, y=1946..1965
x=479, y=1594..1596
y=1597, x=352..354
x=447, y=1468..1474
x=426, y=2002..2012
x=424, y=1919..1938
x=516, y=1827..1849
x=370, y=1096..1106
x=476, y=1725..1731
x=476, y=891..893
x=460, y=1840..1842
x=418, y=2003..2012
y=735, x=435..458
x=422, y=1116..1122
y=1037, x=404..407
x=490, y=1523..1537
x=432, y=372..386
y=1983, x=462..484
y=1386, x=480..505
x=435, y=1669..1686
x=373, y=119..126
y=1680, x=352..375
x=391, y=821..831
x=465, y=186..188
x=372, y=66..93
x=375, y=1714..1724
x=490, y=691..704
x=386, y=1896..1909
y=1584, x=495..501
y=1548, x=384..408
x=489, y=203..214
y=1166, x=476..501
x=380, y=1264..1276
x=489, y=136..150
x=369, y=1957..1970
x=344, y=265..268
y=340, x=441..457
x=486, y=1786..1788
x=460, y=1403..1408
y=660, x=468..470
y=328, x=369..383
y=1005, x=419..434
x=380, y=724..743
x=516, y=193..207
x=362, y=79..98
x=392, y=942..953
x=344, y=1225..1244
x=455, y=14..24
x=441, y=327..340
x=365, y=349..368
x=498, y=415..435
x=498, y=1303..1320
x=358, y=29..34
x=473, y=1030..1055
x=470, y=403..411
y=249, x=486..491
x=498, y=520..522
x=493, y=1944..1970
x=467, y=794..796
y=489, x=352..355
x=442, y=1405..1413
x=370, y=406..421
x=382, y=1615..1625
y=794, x=481..489
y=1993, x=495..516
y=1012, x=395..399
x=388, y=180..198
y=316, x=443..518
x=384, y=1404..1423
x=451, y=767..777
x=452, y=506..515
x=498, y=488..494
y=1981, x=428..431
y=444, x=385..393
y=1791, x=474..493
y=1703, x=405..418
x=392, y=1542..1544
y=1955, x=465..467
y=311, x=358..361
x=503, y=520..522
x=392, y=1817..1828
y=1787, x=358..374
y=269, x=462..477
x=448, y=507..515
x=461, y=1569..1587
x=497, y=402..411
y=1264, x=405..410
x=365, y=1792..1802
x=364, y=1576..1600
x=387, y=922..924
y=34, x=358..369
x=430, y=1783..1794
y=85, x=343..359
x=391, y=1263..1276
x=433, y=1014..1020
x=402, y=1671..1683
x=486, y=1656..1682
x=417, y=1832..1846
y=1267, x=405..410
y=692, x=391..406
y=988, x=353..357
y=558, x=514..516
x=488, y=1411..1419
y=1503, x=401..405
x=365, y=1254..1263
x=383, y=849..859
y=777, x=451..455
y=207, x=496..516
x=440, y=13..18
x=473, y=224..230
x=412, y=1494..1506
x=405, y=1164..1182
y=428, x=439..441
y=1600, x=400..406
x=483, y=1992..2000
y=601, x=362..364
y=1070, x=445..457
x=426, y=514..519
x=484, y=2025..2043
x=411, y=1938..1941
x=375, y=1165..1178
x=456, y=157..167
x=369, y=2005..2010
x=451, y=1213..1220
y=1888, x=377..394
x=478, y=1396..1402
x=347, y=1332..1335
x=377, y=1878..1888
x=386, y=774..788
y=286, x=500..504
y=1970, x=350..369
x=454, y=1903..1907
x=406, y=145..150
x=456, y=1601..1615
y=1271, x=399..418
x=358, y=305..311
x=455, y=910..913
x=502, y=619..630
y=1639, x=465..475
y=370, x=490..504
x=354, y=780..782
y=126, x=373..391
x=471, y=729..744
x=481, y=1858..1881
x=387, y=1716..1727
x=384, y=1281..1291
x=504, y=496..511
x=453, y=1226..1241
x=382, y=1815..1825
y=1340, x=473..500
x=431, y=1114..1126
y=212, x=420..448
x=460, y=614..639
x=418, y=461..474
x=408, y=1051..1065
x=393, y=1668..1680
x=476, y=1105..1122
x=398, y=1027..1040
y=579, x=396..415
x=447, y=1734..1759
x=375, y=1366..1390
y=374, x=381..393
y=1731, x=467..476
y=1965, x=452..473
x=511, y=541..556
x=378, y=2022..2034
y=2024, x=417..419
x=407, y=484..496
y=519, x=426..440
x=389, y=1166..1178
y=87, x=462..478
x=385, y=28..46
y=1441, x=346..358
y=1320, x=482..498
y=1881, x=418..446
y=1144, x=413..433
y=1645, x=376..392
x=396, y=942..953
y=1600, x=341..364
x=362, y=486..496
x=414, y=1413..1417
x=368, y=698..719
y=107, x=414..417
x=342, y=1120..1125
x=342, y=1075..1095
x=444, y=1351..1354
y=452, x=469..493
y=233, x=429..438
x=493, y=653..676
x=458, y=723..735
x=431, y=120..133
x=400, y=685..688
x=431, y=864..868
y=337, x=347..351
x=393, y=976..998
x=498, y=95..107
y=2038, x=449..454
x=383, y=1836..1848
y=1844, x=508..510
x=408, y=405..427
x=491, y=1180..1185
x=440, y=1783..1789
x=341, y=1576..1600
x=516, y=11..21
y=1213, x=455..458
y=1398, x=414..431
y=253, x=353..366
y=20, x=460..469
y=302, x=385..389
y=956, x=429..446
y=252, x=481..500
y=1565, x=395..417
x=364, y=1891..1892
x=460, y=910..913
x=417, y=961..973
x=474, y=1009..1017
x=415, y=1983..1985
x=473, y=1545..1554
y=24, x=455..475
x=387, y=405..410
x=407, y=1216..1228
y=964, x=369..371
y=1315, x=353..368
x=488, y=1712..1739
x=487, y=1437..1460
y=1026, x=350..360
y=969, x=443..461
y=39, x=500..504
y=427, x=408..413
y=796, x=461..467
x=400, y=349..352
x=345, y=1266..1269
y=1970, x=476..493
x=342, y=900..918
x=416, y=1428..1440
y=1286, x=363..373
y=229, x=371..376
x=407, y=121..132
y=1941, x=411..417
x=425, y=1594..1607
x=422, y=1367..1379
y=820, x=454..474
x=484, y=1257..1285
y=643, x=509..516
x=480, y=188..192
x=419, y=2019..2024
y=1339, x=339..364
x=394, y=1316..1334
y=1752, x=431..437
y=1948, x=434..442
y=2025, x=348..353
x=396, y=1582..1584
y=845, x=485..494
x=399, y=1633..1644
x=343, y=1918..1929
y=1840, x=460..463
y=1802, x=337..365
x=435, y=706..711
x=374, y=562..575
x=371, y=938..964
y=107, x=478..498
y=1166, x=426..442
x=374, y=794..797
x=429, y=947..956
x=512, y=31..45
x=373, y=407..421
y=268, x=344..346
y=1899, x=502..507
x=423, y=961..973
y=1498, x=434..450
y=1680, x=393..395
x=446, y=1722..1727
x=405, y=1216..1228
x=406, y=873..893
x=482, y=1304..1320
x=428, y=887..903
x=418, y=1685..1703
y=939, x=385..387
x=404, y=1031..1037
y=1960, x=410..423
x=435, y=1565..1591
y=1682, x=480..486
y=896, x=467..486
x=373, y=1922..1933
x=467, y=1188..1206
y=18, x=438..440
x=369, y=1695..1705
x=432, y=1240..1250
x=438, y=1690..1713
x=394, y=779..782
x=511, y=142..165
x=443, y=801..809
x=400, y=1218..1232
y=309, x=408..430
x=516, y=530..558
x=496, y=974..976
x=411, y=1724..1731
x=439, y=1919..1938
x=341, y=637..643
x=485, y=1713..1739
x=431, y=1749..1752
y=1641, x=410..412
y=1059, x=362..373
y=953, x=392..396
y=1080, x=415..418
x=429, y=925..935
x=364, y=785..807
x=516, y=636..643
x=418, y=2032..2043
x=362, y=1048..1059
x=385, y=1188..1191
y=1868, x=366..385
y=1309, x=449..456
x=403, y=1577..1587
y=697, x=439..448
x=437, y=53..71
x=510, y=618..630
y=71, x=434..437
x=490, y=116..126
x=354, y=939..962
y=1493, x=465..484
x=349, y=1918..1929
y=150, x=463..489
x=365, y=1453..1466
x=358, y=1422..1441
x=514, y=1896..1909
x=476, y=1144..1166
x=429, y=614..625
y=886, x=413..422
y=1402, x=478..494
x=376, y=211..229
x=439, y=207..209
x=374, y=1752..1765
x=461, y=961..969
x=500, y=1334..1340
x=390, y=1921..1933
y=1789, x=440..450
x=511, y=1960..1961
x=395, y=1010..1012
y=491, x=352..355
y=1243, x=491..515
y=1545, x=358..377
x=427, y=1371..1374
x=486, y=116..126
x=361, y=1255..1263
y=133, x=423..431
x=394, y=874..893
y=167, x=454..456
x=448, y=1652..1662
y=1929, x=343..349
y=431, x=427..448
x=444, y=1653..1662
y=1528, x=493..510
y=892, x=333..360
y=1269, x=345..349
x=425, y=547..555
y=691, x=333..360
x=424, y=1179..1182
y=1334, x=385..394
y=1842, x=460..463
x=372, y=28..46
x=413, y=16..31
y=1591, x=435..451
x=466, y=1535..1550
y=1371, x=427..430
y=1554, x=471..473
y=496, x=344..362
y=813, x=418..423
y=435, x=498..506
x=497, y=690..704
x=448, y=689..697
x=363, y=1282..1286
x=444, y=1620..1627
x=449, y=1610..1612
x=505, y=1372..1386
x=485, y=1524..1537
x=356, y=1356..1384
y=878, x=449..460
y=1845, x=449..475
x=465, y=1189..1206
x=506, y=414..435
x=362, y=1941..1950
x=434, y=439..449
x=512, y=1919..1946
y=474, x=402..418
x=430, y=1371..1374
x=382, y=548..558
y=1276, x=380..391
x=489, y=222..232
y=343, x=477..485
x=373, y=1226..1232
x=510, y=870..876
x=469, y=18..20
y=2012, x=418..426
x=408, y=286..309
y=47, x=465..467
x=356, y=1468..1486
x=424, y=1452..1463
y=1451, x=341..343
x=409, y=567..576
x=368, y=1305..1315
x=343, y=80..85
y=764, x=343..349
y=1252, x=457..468
x=507, y=1899..1902
x=404, y=945..956
x=433, y=1134..1144
x=351, y=1113..1128
x=468, y=1468..1474
x=447, y=324..336
y=1332, x=347..352
y=45, x=487..512
x=368, y=110..123
x=367, y=79..98
x=445, y=1085..1090
y=1506, x=394..412
x=496, y=1059..1062
x=395, y=1555..1565
x=474, y=789..799
x=484, y=1485..1493
x=350, y=1131..1145
x=446, y=1331..1334
x=406, y=1431..1443
x=440, y=747..760
x=393, y=1453..1475
x=418, y=1116..1122
y=1417, x=412..414
x=413, y=871..886
x=456, y=660..681
y=1017, x=386..405
x=354, y=113..116
y=650, x=499..504
x=495, y=1071..1081
y=1568, x=499..513
y=681, x=456..460
x=474, y=1258..1285
x=379, y=1455..1457
y=1702, x=376..379
x=422, y=865..868
y=1825, x=380..382
y=705, x=469..481
x=481, y=1951..1955
y=1423, x=382..384
x=405, y=1492..1503
y=1946, x=503..512
x=354, y=714..719
y=1095, x=342..355
y=859, x=383..407
x=337, y=1793..1802
y=875, x=339..344
y=1266, x=345..349
y=1184, x=468..479
x=360, y=665..691
x=341, y=1978..1990
x=504, y=39..41
x=432, y=658..670
y=797, x=374..376
y=163, x=341..355
x=346, y=264..268
x=495, y=1582..1584
x=390, y=1594..1607
x=480, y=612..616
x=381, y=180..198
x=385, y=1315..1334
x=483, y=673..679
x=405, y=1409..1421
x=443, y=595..596
y=419, x=393..405
y=410, x=376..387
x=376, y=1856..1865
y=978, x=346..349
x=442, y=1942..1948
x=339, y=2046..2048
x=336, y=1935..1942
x=449, y=836..838
x=514, y=531..558
x=364, y=2001..2014
y=1808, x=374..394
x=463, y=806..817
x=405, y=1453..1463
x=420, y=199..212
y=1443, x=406..422
x=387, y=529..534
x=364, y=596..601
x=379, y=1692..1702
y=1263, x=361..365
x=471, y=561..563
x=405, y=1685..1703
x=494, y=220..227
x=494, y=612..616
x=490, y=1153..1155
y=524, x=476..481
x=333, y=887..892
x=510, y=1504..1528
x=516, y=1976..1993
x=420, y=1786..1790
y=976, x=494..496
x=449, y=726..729
x=362, y=1734..1757
y=1090, x=445..468
y=1828, x=372..392
x=513, y=1351..1354
x=429, y=2000..2027
x=426, y=1153..1166
x=477, y=267..269
x=374, y=1943..1945
y=1537, x=485..490
x=376, y=404..410
x=365, y=195..201
y=1460, x=466..487
x=352, y=194..214
y=1291, x=384..428
x=467, y=1153..1161
x=410, y=1950..1960
x=389, y=285..302
y=1421, x=405..420
x=362, y=596..601
y=505, x=376..381
x=474, y=1496..1506
x=375, y=1657..1680
x=492, y=1752..1759
y=1529, x=399..422
x=400, y=1542..1544
x=485, y=336..343
x=506, y=223..232
y=729, x=449..452
x=369, y=937..964
y=913, x=360..362
y=881, x=427..467
x=428, y=1970..1981
x=355, y=1184..1194
x=400, y=1724..1731
y=1794, x=415..430
x=380, y=1484..1501
x=449, y=1689..1713
x=420, y=350..352
x=450, y=1225..1241
x=426, y=677..689
x=473, y=615..639
x=416, y=1175..1185
x=394, y=1898..1912
y=1475, x=393..399
y=352, x=400..420
y=489, x=505..508
y=678, x=502..511
x=501, y=1985..1989
x=360, y=887..892
x=383, y=324..328
x=376, y=1735..1744
x=466, y=1287..1314
