x=331, y=565..585
x=259, y=1138..1140
y=1275, x=360..363
x=482, y=6..27
y=781, x=491..494
x=417, y=771..776
x=191, y=52..77
x=292, y=1391..1399
x=416, y=75..82
x=346, y=1019..1029
x=474, y=1305..1321
x=322, y=91..101
x=282, y=366..371
x=344, y=44..48
x=396, y=34..42
y=168, x=469..472
x=359, y=1576..1579
x=396, y=1279..1299
y=556, x=232..241
x=381, y=1610..1632
y=1018, x=228..244
x=312, y=809..811
y=1112, x=246..254
y=202, x=321..325
x=230, y=1694..1701
y=1765, x=221..225
x=376, y=923..932
y=879, x=420..422
x=217, y=531..557
y=1096, x=197..209
y=907, x=520..522
y=83, x=299..317
x=351, y=387..391
x=397, y=768..780
x=317, y=507..523
x=252, y=735..752
x=456, y=81..103
x=268, y=1716..1728
y=202, x=234..261
x=306, y=91..101
y=487, x=353..362
y=665, x=245..260
y=169, x=284..308
x=371, y=126..154
y=684, x=342..361
x=471, y=455..469
x=316, y=1631..1640
y=1669, x=374..377
x=478, y=1158..1180
x=258, y=574..595
x=353, y=485..487
x=358, y=190..193
y=880, x=354..372
y=129, x=488..539
x=350, y=700..728
x=395, y=1004..1016
y=518, x=406..418
y=737, x=314..316
x=265, y=430..456
x=272, y=258..282
y=1793, x=199..216
x=446, y=591..594
x=312, y=384..408
x=491, y=768..781
y=929, x=407..412
y=408, x=305..312
x=363, y=1273..1275
x=508, y=97..101
x=381, y=18..22
x=289, y=1518..1529
x=355, y=1420..1429
x=537, y=626..634
x=446, y=644..646
x=448, y=1408..1436
x=454, y=347..357
x=279, y=491..502
x=432, y=645..646
x=426, y=269..273
x=394, y=725..737
x=326, y=212..229
x=307, y=1519..1529
x=276, y=1283..1287
x=494, y=920..932
y=1665, x=251..337
x=426, y=299..315
x=407, y=300..316
x=469, y=165..168
x=336, y=418..427
x=209, y=1777..1790
x=191, y=601..613
x=498, y=667..675
x=208, y=1511..1518
y=1462, x=191..213
x=357, y=123..147
y=377, x=271..288
x=465, y=242..251
x=344, y=78..91
x=247, y=839..844
x=276, y=1540..1552
x=251, y=1654..1665
x=216, y=1756..1770
x=329, y=79..91
x=294, y=1249..1258
y=784, x=511..536
y=186, x=222..231
y=972, x=441..463
x=503, y=71..81
x=315, y=951..953
x=347, y=565..585
y=988, x=503..518
x=236, y=1446..1457
x=470, y=1512..1540
x=385, y=1760..1768
y=1337, x=507..532
x=246, y=400..404
x=486, y=1126..1142
y=1142, x=460..486
x=479, y=328..345
x=209, y=1086..1096
x=509, y=1608..1631
y=1714, x=498..510
x=242, y=489..498
y=523, x=314..317
y=1500, x=208..218
x=374, y=1067..1080
x=205, y=1268..1271
y=1320, x=359..377
x=249, y=858..866
x=377, y=1826..1837
x=447, y=455..469
y=1837, x=375..377
x=402, y=1311..1327
y=401, x=403..408
y=268, x=286..292
x=444, y=541..555
y=844, x=242..247
y=1822, x=393..399
x=502, y=617..628
y=1305, x=452..470
x=472, y=165..168
x=502, y=1496..1501
x=252, y=971..999
x=479, y=754..756
x=406, y=983..993
x=513, y=97..101
x=397, y=247..251
x=191, y=1826..1837
y=654, x=456..459
x=493, y=1700..1720
y=919, x=432..454
x=286, y=585..597
x=395, y=1161..1174
x=458, y=1115..1118
y=1146, x=427..444
x=518, y=1784..1803
x=270, y=753..773
x=341, y=386..391
y=1395, x=483..485
x=359, y=1330..1342
x=317, y=580..593
x=488, y=1762..1788
x=385, y=338..345
x=377, y=75..77
x=271, y=576..577
x=529, y=1608..1631
x=227, y=1733..1745
x=459, y=1545..1547
y=1208, x=420..444
x=195, y=342..360
x=257, y=1623..1627
x=442, y=904..911
x=381, y=1185..1199
x=419, y=177..198
x=368, y=765..773
x=343, y=1693..1709
y=1318, x=250..265
x=406, y=587..598
x=284, y=677..687
y=1225, x=216..230
x=202, y=1732..1747
x=288, y=1455..1465
y=1425, x=279..299
x=330, y=1538..1540
y=108, x=326..350
y=1037, x=431..443
x=427, y=838..844
x=415, y=856..859
x=397, y=1613..1618
y=1194, x=340..347
x=309, y=273..300
x=201, y=1535..1550
y=335, x=460..466
x=193, y=1338..1355
x=332, y=1294..1303
y=27, x=468..482
x=408, y=1552..1570
y=400, x=431..450
y=151, x=473..498
y=1114, x=225..228
x=514, y=549..553
x=419, y=430..437
x=400, y=607..617
x=384, y=67..81
x=267, y=1177..1185
x=452, y=1618..1625
x=346, y=1567..1582
y=727, x=366..375
y=1274, x=381..383
x=363, y=1480..1501
x=459, y=434..447
x=483, y=1287..1296
x=351, y=1019..1029
x=414, y=563..576
x=269, y=1657..1660
x=369, y=1743..1747
x=407, y=748..758
x=528, y=204..206
x=241, y=417..419
x=259, y=275..284
x=492, y=803..807
x=227, y=920..922
x=468, y=5..27
y=1127, x=239..262
x=443, y=1563..1578
x=200, y=1126..1137
x=399, y=1802..1822
x=360, y=1452..1454
x=260, y=94..102
y=1644, x=205..207
x=502, y=1213..1216
x=503, y=267..270
x=411, y=75..82
y=257, x=199..202
x=328, y=212..229
x=441, y=959..972
x=446, y=771..776
x=474, y=1788..1809
x=222, y=1695..1701
y=1287, x=248..276
y=384, x=360..368
y=1257, x=358..375
x=270, y=670..688
y=44, x=481..499
x=218, y=741..755
x=341, y=1463..1470
x=200, y=675..700
y=1532, x=316..321
x=297, y=1373..1382
x=323, y=548..553
x=533, y=813..823
y=543, x=321..342
x=309, y=73..78
x=385, y=1069..1083
y=1128, x=334..353
x=212, y=811..818
y=1464, x=352..372
x=255, y=49..76
x=292, y=1224..1228
x=405, y=1181..1188
x=362, y=1651..1672
x=456, y=563..576
y=229, x=326..328
y=1083, x=366..385
x=482, y=114..117
x=292, y=541..556
x=470, y=608..622
y=692, x=225..233
y=419, x=241..261
x=265, y=1303..1318
x=329, y=1230..1242
y=1728, x=250..268
y=1279, x=375..392
y=342, x=504..529
y=149, x=290..299
y=1434, x=400..421
x=471, y=971..992
x=341, y=942..952
y=604, x=530..533
x=403, y=450..459
x=316, y=1507..1532
y=307, x=319..328
y=755, x=210..218
y=1412, x=341..357
x=455, y=668..678
y=1180, x=464..478
x=434, y=1081..1088
x=533, y=1584..1588
y=858, x=206..213
y=228, x=335..355
x=328, y=683..699
x=232, y=630..645
x=285, y=1354..1367
y=931, x=515..531
x=279, y=1415..1425
x=500, y=525..526
x=481, y=158..172
x=325, y=1611..1625
y=887, x=202..215
x=239, y=906..923
x=222, y=490..498
x=219, y=784..793
x=322, y=1107..1111
x=292, y=249..268
y=375, x=496..515
x=215, y=1633..1647
x=239, y=1107..1127
x=423, y=66..87
y=759, x=531..536
x=369, y=632..652
x=502, y=1381..1409
x=320, y=1563..1575
x=239, y=1151..1158
x=273, y=979..1003
y=1745, x=227..347
x=515, y=466..487
x=361, y=677..684
y=894, x=373..375
y=577, x=266..271
x=256, y=754..773
y=1654, x=496..515
y=1368, x=211..223
y=1173, x=441..461
x=492, y=1007..1027
x=537, y=1398..1423
x=521, y=1618..1621
x=335, y=643..670
x=299, y=805..817
x=191, y=1437..1462
y=1268, x=526..530
y=1401, x=244..248
y=1582, x=222..231
y=1282, x=296..319
y=1493, x=412..427
y=1159, x=270..279
x=397, y=913..935
y=685, x=376..396
x=270, y=83..91
x=271, y=1216..1219
y=193, x=358..370
y=1321, x=474..494
y=440, x=413..428
x=424, y=499..511
x=241, y=778..793
x=382, y=486..490
y=270, x=441..443
y=723, x=366..375
x=497, y=1039..1061
x=485, y=1068..1095
x=405, y=1293..1296
x=321, y=202..204
x=515, y=1647..1654
x=312, y=216..242
x=360, y=370..384
y=207, x=281..305
y=1473, x=445..465
y=107, x=205..221
x=494, y=768..781
y=773, x=368..378
x=270, y=941..956
x=331, y=1554..1557
x=366, y=1249..1254
x=369, y=1306..1317
x=250, y=1717..1728
x=368, y=370..384
x=380, y=986..1005
x=523, y=1618..1621
y=959, x=254..262
x=363, y=1452..1454
x=465, y=1539..1563
x=196, y=439..444
x=205, y=1232..1233
x=385, y=965..968
y=385, x=433..458
x=389, y=905..917
y=1055, x=264..285
x=282, y=1645..1648
x=332, y=336..349
x=463, y=1001..1004
y=66, x=491..510
x=282, y=350..360
x=309, y=1493..1507
x=350, y=1268..1279
y=759, x=467..485
x=429, y=1750..1778
y=555, x=425..444
x=423, y=1694..1720
y=1634, x=444..468
x=368, y=832..842
x=415, y=675..698
x=480, y=521..533
x=315, y=335..349
x=262, y=1066..1078
x=392, y=1269..1279
x=255, y=293..298
y=339, x=453..472
x=498, y=219..233
y=1698, x=278..283
x=439, y=1264..1275
y=1452, x=427..430
y=1579, x=359..362
x=394, y=1518..1527
x=378, y=847..856
y=809, x=312..314
y=1213, x=499..502
y=1809, x=474..476
x=489, y=12..24
y=1454, x=360..363
x=206, y=843..858
y=593, x=310..317
x=473, y=650..659
y=41, x=276..278
x=211, y=1366..1368
x=387, y=542..553
x=214, y=331..341
y=291, x=224..226
x=299, y=1414..1425
y=490, x=382..385
y=1094, x=400..405
y=876, x=316..318
x=267, y=1067..1078
x=416, y=1654..1658
x=283, y=1695..1698
x=202, y=883..887
y=929, x=367..370
y=186, x=453..457
x=219, y=530..557
x=357, y=613..617
y=42, x=396..403
x=402, y=1648..1661
y=1540, x=470..490
x=395, y=750..753
x=445, y=1772..1775
x=484, y=1316..1318
x=373, y=337..345
y=405, x=373..379
y=529, x=294..298
x=213, y=843..858
x=319, y=1464..1470
y=936, x=325..341
x=395, y=1183..1195
x=496, y=367..375
x=236, y=1307..1310
x=508, y=1745..1746
x=468, y=970..992
x=316, y=993..1000
x=193, y=250..265
x=263, y=1234..1245
x=295, y=1092..1099
x=422, y=1784..1798
y=1687, x=238..242
y=1576, x=503..529
x=401, y=1293..1296
y=1107, x=394..413
x=361, y=1634..1643
x=253, y=1503..1517
x=314, y=809..811
x=514, y=1143..1156
x=436, y=1564..1578
y=1421, x=288..293
y=1188, x=405..408
y=1088, x=434..444
x=266, y=1698..1708
x=372, y=1067..1080
y=366, x=280..282
x=368, y=1803..1817
x=393, y=1802..1822
x=474, y=346..357
x=245, y=1138..1162
x=245, y=659..665
y=637, x=240..243
x=296, y=1516..1526
y=254, x=327..331
y=628, x=499..502
x=417, y=359..373
x=281, y=515..519
y=526, x=494..500
x=200, y=147..174
x=375, y=892..894
x=302, y=1107..1111
x=291, y=227..239
x=318, y=605..620
x=431, y=935..938
x=249, y=1235..1245
x=252, y=583..590
x=326, y=106..108
y=404, x=221..246
x=429, y=252..278
y=1254, x=481..485
y=89, x=192..200
x=346, y=1424..1437
y=355, x=391..410
y=1405, x=244..248
y=935, x=305..311
x=463, y=369..382
x=316, y=856..876
y=1136, x=471..476
x=199, y=1442..1444
x=267, y=144..170
x=358, y=1245..1257
x=261, y=1586..1600
y=315, x=426..434
x=431, y=1023..1037
x=444, y=1080..1088
x=205, y=439..444
y=1123, x=504..506
x=506, y=1118..1123
y=399, x=470..472
y=617, x=396..400
x=294, y=1373..1382
x=413, y=875..894
x=254, y=161..164
y=771, x=417..446
x=356, y=1145..1147
y=1035, x=329..357
y=512, x=218..232
x=265, y=1433..1445
x=482, y=630..640
y=1780, x=505..512
x=444, y=1182..1208
x=433, y=505..508
y=734, x=461..469
y=1158, x=216..218
x=288, y=1330..1333
x=303, y=1376..1386
y=553, x=488..514
x=494, y=1304..1321
x=464, y=685..699
y=1158, x=236..239
x=358, y=1778..1787
x=232, y=508..512
y=1138, x=471..476
x=310, y=1277..1279
x=327, y=606..620
y=1495, x=393..397
x=261, y=1714..1724
x=284, y=1083..1087
x=337, y=631..635
x=520, y=836..850
x=396, y=607..617
x=308, y=1827..1836
y=1242, x=304..329
y=1122, x=281..285
x=355, y=91..97
y=293, x=255..257
x=512, y=1352..1367
x=341, y=927..936
x=505, y=1752..1780
y=1000, x=316..323
x=288, y=364..377
x=467, y=748..759
x=221, y=1765..1767
x=314, y=735..737
x=310, y=1440..1444
y=818, x=212..220
x=353, y=1145..1147
y=459, x=403..410
x=305, y=204..207
x=457, y=1589..1608
x=514, y=842..847
x=358, y=1421..1429
x=535, y=1814..1816
x=401, y=1674..1698
y=752, x=241..252
y=1798, x=408..422
x=213, y=469..473
x=318, y=1255..1257
y=687, x=284..289
x=246, y=1462..1487
x=210, y=741..755
x=404, y=1112..1115
x=414, y=1184..1195
x=387, y=1411..1418
x=420, y=879..884
x=381, y=1137..1150
y=508, x=433..441
x=237, y=373..390
y=1267, x=411..420
x=434, y=199..212
x=364, y=94..118
x=370, y=920..929
y=239, x=403..417
x=505, y=1234..1239
y=911, x=442..448
x=366, y=1070..1083
x=423, y=913..935
x=472, y=754..756
x=284, y=515..519
y=353, x=459..462
x=282, y=738..741
y=1429, x=355..358
x=470, y=1302..1305
x=401, y=1207..1220
x=342, y=1633..1643
x=385, y=850..860
y=498, x=222..242
y=585, x=331..347
x=383, y=1288..1298
x=375, y=1245..1257
y=1404, x=466..491
y=1250, x=391..416
y=1709, x=343..346
y=472, x=378..384
x=342, y=1611..1625
y=622, x=388..406
x=295, y=585..597
y=75, x=373..377
y=1115, x=387..404
x=477, y=694..696
x=403, y=543..553
x=340, y=9..24
x=199, y=1779..1793
x=290, y=1249..1258
y=1196, x=427..433
x=333, y=1088..1103
x=408, y=1181..1188
y=1474, x=469..476
x=337, y=701..728
x=426, y=819..821
y=949, x=349..352
y=678, x=455..475
y=867, x=262..266
x=271, y=363..377
y=675, x=493..498
y=1303, x=308..332
y=985, x=204..230
x=375, y=1826..1837
x=473, y=141..151
x=299, y=1453..1461
y=1627, x=234..257
x=454, y=133..157
x=292, y=436..443
y=1625, x=325..342
y=971, x=352..397
y=1418, x=371..387
x=504, y=339..342
x=346, y=1693..1709
x=530, y=891..912
y=424, x=447..474
x=371, y=1161..1174
x=206, y=1583..1584
x=229, y=323..346
x=232, y=1042..1070
x=215, y=1256..1275
y=373, x=417..429
x=322, y=1036..1044
x=289, y=1545..1548
x=342, y=552..553
y=1732, x=397..414
x=385, y=1787..1789
x=241, y=145..170
x=408, y=1352..1376
x=334, y=1314..1318
x=368, y=1249..1254
y=215, x=346..349
x=320, y=1540..1552
y=619, x=477..481
x=393, y=1468..1495
x=242, y=1674..1687
x=403, y=380..401
x=245, y=519..522
x=299, y=1497..1500
y=265, x=193..210
x=387, y=1650..1672
x=210, y=1539..1541
x=288, y=1412..1421
x=336, y=1562..1575
x=456, y=654..656
x=284, y=167..169
x=374, y=905..917
x=504, y=836..850
x=222, y=783..793
y=750, x=395..397
x=510, y=1711..1714
y=1688, x=465..485
x=273, y=490..502
y=1075, x=235..258
x=248, y=1401..1405
x=280, y=1178..1185
x=483, y=1395..1399
x=228, y=1308..1310
y=102, x=260..265
x=427, y=1391..1401
x=231, y=1614..1623
x=281, y=1120..1122
y=1650, x=522..534
x=428, y=176..198
x=472, y=388..399
x=316, y=736..737
x=270, y=1139..1159
x=298, y=507..529
x=408, y=838..844
y=1372, x=448..474
x=450, y=393..400
x=349, y=1631..1639
y=1175, x=229..241
y=892, x=373..375
x=488, y=549..553
x=258, y=616..643
x=481, y=1237..1254
y=204, x=321..325
y=1790, x=207..209
x=471, y=375..379
y=239, x=287..291
x=227, y=615..632
x=396, y=841..859
x=251, y=1677..1690
x=411, y=1759..1768
x=193, y=538..546
x=347, y=998..1002
x=359, y=259..285
x=275, y=1374..1389
y=1367, x=512..517
y=556, x=292..308
x=231, y=178..186
x=333, y=547..553
x=339, y=1112..1125
y=656, x=456..459
x=347, y=1733..1745
x=521, y=1273..1293
y=951, x=456..477
x=343, y=353..359
x=401, y=67..87
y=1622, x=334..336
x=539, y=115..129
x=429, y=1268..1271
y=576, x=414..456
x=477, y=219..233
x=238, y=1674..1687
x=369, y=1567..1582
y=620, x=318..327
x=232, y=833..847
x=512, y=262..275
y=614, x=428..434
x=342, y=522..543
y=597, x=286..295
x=459, y=158..172
x=441, y=1153..1173
x=479, y=1763..1788
x=196, y=538..546
y=557, x=217..219
y=1279, x=308..310
x=368, y=10..24
x=373, y=1333..1351
y=1199, x=333..381
x=456, y=699..715
y=922, x=208..227
x=531, y=927..931
x=376, y=679..685
x=233, y=1756..1770
y=1318, x=310..334
y=1767, x=221..225
x=360, y=1273..1275
x=281, y=1393..1403
x=294, y=1441..1444
y=97, x=508..513
x=518, y=986..988
y=542, x=463..484
y=285, x=359..365
y=753, x=395..397
x=232, y=549..556
y=1254, x=366..368
x=293, y=1412..1421
y=1344, x=320..333
y=1258, x=290..294
x=319, y=280..307
y=331, x=211..214
x=368, y=1773..1797
y=1178, x=326..339
x=347, y=158..169
y=1545, x=455..459
x=313, y=951..953
y=97, x=348..355
x=230, y=1137..1162
x=511, y=762..784
x=297, y=1497..1500
x=522, y=502..507
x=524, y=242..249
x=257, y=1017..1022
x=512, y=241..249
x=327, y=251..254
x=228, y=1096..1114
x=326, y=805..817
x=273, y=1473..1484
x=510, y=1785..1803
x=228, y=1004..1018
y=1296, x=401..405
x=360, y=440..441
x=205, y=319..345
x=446, y=1664..1667
x=329, y=1554..1557
x=353, y=124..147
x=332, y=1586..1600
x=342, y=676..684
y=1275, x=424..439
x=328, y=280..307
x=291, y=1493..1507
x=236, y=289..311
y=24, x=340..368
x=299, y=1673..1681
y=1320, x=523..528
x=520, y=901..907
y=574, x=509..537
x=242, y=1608..1620
x=305, y=1456..1465
x=325, y=1634..1647
y=206, x=528..530
x=340, y=1190..1194
y=100, x=210..215
x=482, y=1316..1318
x=512, y=164..190
y=894, x=413..428
y=1019, x=346..351
x=240, y=961..966
y=1518, x=208..225
x=335, y=596..617
y=278, x=429..450
y=533, x=434..480
y=300, x=305..309
x=213, y=675..700
y=1683, x=474..479
x=498, y=1712..1714
x=467, y=1238..1259
x=231, y=450..476
y=1640, x=313..316
y=1790, x=460..468
x=227, y=203..210
x=290, y=512..522
x=421, y=1003..1016
x=373, y=582..597
x=499, y=617..628
x=377, y=1308..1320
y=670, x=327..335
y=1726, x=201..212
y=1588, x=511..533
y=1643, x=342..361
x=474, y=1363..1372
x=206, y=53..77
y=174, x=200..222
x=206, y=1803..1817
y=1648, x=282..290
y=84, x=493..512
x=330, y=1560..1572
y=825, x=370..493
x=515, y=723..746
x=321, y=256..269
x=234, y=574..595
x=536, y=741..759
x=441, y=51..71
x=463, y=539..542
x=526, y=157..160
x=290, y=1644..1648
y=999, x=237..252
y=821, x=426..481
x=262, y=1108..1127
x=349, y=212..215
x=210, y=1360..1362
y=71, x=441..450
x=488, y=267..270
y=476, x=231..235
y=1038, x=381..408
x=210, y=1042..1070
x=482, y=490..513
y=653, x=312..319
y=938, x=428..431
y=169, x=347..366
x=522, y=1636..1650
x=359, y=516..520
x=370, y=191..193
y=328, x=295..301
y=595, x=234..258
x=213, y=1437..1462
x=504, y=1118..1123
x=298, y=715..717
x=434, y=298..315
x=534, y=1636..1650
y=190, x=495..512
x=389, y=1225..1235
y=318, x=461..478
x=533, y=1399..1423
x=432, y=1389..1392
y=1778, x=429..452
x=472, y=1068..1095
x=248, y=583..590
x=265, y=94..102
x=493, y=73..84
y=1618, x=388..397
x=393, y=145..160
x=466, y=333..335
x=515, y=890..912
x=386, y=582..597
x=234, y=188..202
y=1708, x=241..266
y=1690, x=233..251
x=317, y=55..83
x=425, y=541..555
y=1005, x=372..380
x=395, y=1453..1455
y=675, x=465..467
y=1118, x=458..478
x=336, y=1620..1622
x=405, y=1453..1455
y=1589, x=252..256
x=342, y=633..652
x=358, y=1480..1501
x=464, y=1157..1180
y=427, x=324..336
y=224, x=262..268
x=504, y=1381..1409
x=258, y=1057..1075
x=278, y=349..360
x=429, y=360..373
y=1150, x=345..381
x=526, y=94..105
y=860, x=366..385
x=483, y=1001..1004
y=160, x=515..526
y=1106, x=353..372
x=371, y=98..107
y=157, x=443..454
x=255, y=197..199
y=1517, x=253..267
x=219, y=708..716
y=1162, x=230..245
x=253, y=1028..1030
x=231, y=1579..1582
y=371, x=280..282
x=351, y=516..520
x=207, y=1641..1644
y=1541, x=210..212
x=512, y=1273..1293
x=254, y=1112..1117
x=377, y=1666..1669
x=384, y=791..801
x=448, y=1238..1259
y=1174, x=371..395
x=225, y=1462..1487
y=700, x=200..213
y=1235, x=368..389
x=365, y=873..877
x=242, y=932..940
x=255, y=616..643
x=503, y=1146..1161
y=147, x=353..357
x=522, y=1016..1038
x=366, y=723..727
x=373, y=387..405
x=528, y=498..521
x=459, y=1248..1253
x=331, y=1357..1360
x=530, y=204..206
x=356, y=1357..1360
x=448, y=904..911
y=858, x=428..445
x=492, y=1179..1188
y=1570, x=405..408
x=282, y=1674..1681
y=1239, x=505..508
x=384, y=1828..1841
y=251, x=397..400
x=491, y=1383..1404
x=209, y=1614..1623
x=389, y=299..316
x=366, y=157..169
x=217, y=1826..1837
y=1672, x=362..387
y=473, x=211..213
x=327, y=643..670
x=225, y=677..692
x=408, y=1785..1798
y=1768, x=385..411
x=200, y=83..89
x=339, y=1176..1178
x=285, y=29..44
x=408, y=1027..1038
x=430, y=1432..1452
x=487, y=609..622
y=91, x=329..344
x=510, y=1145..1161
x=497, y=921..932
y=1117, x=246..254
x=428, y=874..894
x=321, y=521..543
x=479, y=1667..1683
x=215, y=100..102
y=522, x=230..245
x=441, y=505..508
x=453, y=325..339
x=270, y=259..282
y=1789, x=385..387
x=516, y=1228..1252
x=243, y=637..641
x=192, y=83..89
x=485, y=1195..1222
x=306, y=73..78
x=397, y=962..971
x=468, y=1773..1790
y=1599, x=467..495
x=493, y=667..675
x=283, y=1375..1386
x=476, y=1136..1138
y=244, x=256..280
x=478, y=305..318
x=448, y=1664..1667
x=536, y=186..213
x=318, y=436..443
x=353, y=1328..1338
x=352, y=961..971
y=103, x=456..480
x=384, y=833..842
x=298, y=1516..1526
x=355, y=207..228
x=401, y=1030..1035
y=1657, x=269..279
x=281, y=205..207
y=1563, x=448..465
x=333, y=353..359
x=355, y=40..60
y=1245, x=249..263
x=500, y=71..81
y=842, x=511..514
y=1342, x=341..359
y=1317, x=369..371
y=1701, x=222..230
x=498, y=140..151
x=460, y=1125..1142
y=842, x=368..384
x=391, y=351..355
x=459, y=344..353
x=368, y=1353..1367
x=249, y=1543..1554
x=474, y=1667..1683
x=528, y=1296..1320
x=465, y=1664..1688
y=1500, x=297..299
y=1058, x=368..420
x=233, y=1676..1690
x=537, y=564..574
x=521, y=185..213
x=296, y=1545..1548
y=847, x=511..514
x=289, y=677..687
y=140, x=195..203
x=289, y=797..804
x=497, y=1571..1585
x=258, y=834..847
x=397, y=750..753
x=443, y=133..157
x=320, y=1675..1693
x=375, y=723..727
y=249, x=512..524
x=490, y=490..513
x=509, y=1178..1188
y=1841, x=368..384
x=372, y=870..880
x=469, y=1457..1474
y=346, x=229..243
y=233, x=477..498
y=1058, x=502..505
x=447, y=649..659
x=230, y=960..985
y=553, x=387..403
x=348, y=1405..1409
x=335, y=206..228
x=371, y=1306..1317
x=457, y=1248..1253
x=373, y=1697..1703
x=432, y=1268..1271
y=1726, x=215..217
x=249, y=125..130
x=420, y=1571..1594
y=753, x=301..315
x=208, y=1482..1500
x=199, y=204..210
x=514, y=1109..1137
x=479, y=1699..1720
y=1693, x=302..320
x=438, y=433..447
x=414, y=1706..1732
y=1822, x=422..449
x=310, y=581..593
y=1403, x=281..300
x=256, y=82..91
x=511, y=1195..1222
x=511, y=842..847
x=515, y=927..931
y=993, x=391..406
x=494, y=524..526
x=261, y=50..76
y=1548, x=289..296
y=1594, x=420..424
x=298, y=946..957
y=1156, x=514..516
y=522, x=264..290
x=470, y=388..399
x=353, y=1115..1128
x=305, y=1633..1647
y=1401, x=416..427
x=218, y=1481..1500
x=357, y=439..441
y=1436, x=448..457
x=525, y=1015..1038
x=232, y=705..729
y=635, x=333..337
x=428, y=611..614
x=280, y=237..244
x=533, y=600..604
x=530, y=1251..1268
y=1631, x=509..529
x=397, y=1736..1748
x=361, y=1808..1811
x=477, y=929..951
x=381, y=708..730
x=282, y=798..804
y=102, x=210..215
x=413, y=418..440
x=377, y=1293..1295
y=1787, x=222..358
x=280, y=308..323
y=616, x=510..518
y=1003, x=273..276
x=496, y=460..488
x=475, y=709..720
x=321, y=947..957
y=546, x=193..196
x=418, y=502..518
y=391, x=341..351
x=215, y=1713..1726
y=632, x=224..227
x=304, y=1252..1264
x=262, y=1423..1427
x=412, y=1482..1493
x=207, y=705..729
y=1044, x=300..322
x=261, y=416..419
y=1253, x=457..459
y=998, x=347..355
x=252, y=905..923
x=218, y=507..512
y=351, x=346..368
y=208, x=311..331
x=327, y=1088..1103
x=276, y=36..41
x=379, y=387..405
x=461, y=285..298
x=422, y=1649..1661
x=516, y=1144..1156
x=475, y=667..678
y=1360, x=331..356
y=763, x=198..225
x=266, y=385..388
x=424, y=972..992
x=215, y=979..981
x=496, y=1647..1654
x=233, y=678..692
y=382, x=463..483
x=425, y=1693..1720
x=510, y=11..24
x=198, y=736..763
x=225, y=1765..1767
x=299, y=145..149
y=741, x=274..282
y=101, x=306..322
y=594, x=440..446
x=523, y=1297..1320
x=369, y=1269..1279
x=318, y=1207..1220
x=481, y=819..821
x=497, y=1110..1137
y=717, x=275..298
y=898, x=360..381
y=1004, x=463..483
x=363, y=68..81
x=408, y=268..273
x=341, y=1513..1527
x=215, y=884..887
x=226, y=19..36
y=345, x=479..487
x=511, y=1585..1588
x=371, y=1764..1769
y=1016, x=395..421
y=1681, x=282..299
x=428, y=417..440
x=285, y=1039..1055
x=485, y=748..759
x=241, y=1698..1708
x=259, y=161..164
x=457, y=184..186
x=441, y=699..715
y=1030, x=234..253
x=286, y=250..268
x=489, y=200..212
y=1362, x=210..221
x=439, y=1654..1673
x=216, y=1780..1793
x=428, y=936..938
y=160, x=383..393
x=397, y=1467..1495
x=496, y=1227..1252
y=447, x=438..459
x=507, y=1334..1337
y=597, x=373..386
y=273, x=408..426
x=284, y=92..97
x=333, y=630..635
x=370, y=812..825
